Sub-Category,Total_Sales,Avg_Order_Value,Sales_Volatility,YoY_Growth,Cluster,Demand_Segment,PCA_1,PCA_2
Accessories,163881.69,217.34972148541115,2578.699118283774,37.50322221609432,2,"Low Volume, High Volatility",0.03804288428735467,-0.12423092514466096
Appliances,104075.463,227.23900218340611,1820.9705535470218,39.23195639365731,1,Growing Demand,-0.5599381265976421,0.13126253985090283
Art,26697.37,34.052767857142854,330.6987320457042,16.62981627263933,1,Growing Demand,-1.7238104175346705,-0.1445439933137682
Binders,200028.785,134.0675502680965,3848.2236478754908,21.87360669860654,2,"Low Volume, High Volatility",0.624188971076337,-0.5904334671877484
Bookcases,109408.2987,486.2591053333333,2080.890674838116,19.59120479767586,1,Growing Demand,-0.2083182657404784,-0.13815081173378171
Chairs,322107.531,531.5305792079208,4387.620810622254,7.221630660022138,2,"Low Volume, High Volatility",1.843750221598385,-1.1356536407385822
Copiers,146248.094,2215.8802121212125,5500.774390527093,84.6718189338513,0,"High Volume, Stable Demand",2.8741935344372407,1.9630016075315173
Envelopes,16126.006,65.28747368421052,228.2248716940005,-2.781901349284066,1,Growing Demand,-1.8009984929731107,-0.47260359341557395
Fasteners,3001.96,14.02785046728972,48.74222863268981,15.703382899686266,1,Growing Demand,-1.9765380779324038,-0.08710789794414042
Furnishings,89212.018,95.82386466165413,1360.0178672616057,28.78893806111394,1,Growing Demand,-0.9375580568977836,-0.09418522788972954
Labels,12347.726,34.587467787114846,223.47121839221342,12.192650684234545,1,Growing Demand,-1.8436338325655373,-0.17846673630304002
Machines,189238.631,1645.5533130434783,5603.554746739796,8.006000579367448,0,"High Volume, Stable Demand",2.5882954285935105,-0.008119243163997179
Paper,76736.104,57.43720359281438,1026.4244788582653,25.261871858336015,1,Growing Demand,-1.1665238524668269,-0.14190425404693535
Phones,326487.698,373.12879771428567,4083.1146109043725,12.46013100266592,2,"Low Volume, High Volatility",1.6125881765580683,-1.136908282242323
Storage,217779.102,262.06871480144406,2856.3499757889695,13.032675339750064,2,"Low Volume, High Volatility",0.46302390060070486,-0.7868400714691222
Supplies,46420.308,252.28428260869563,2025.0941389159009,192.84484275895372,3,Declining / Niche Demand,-0.6964515496322902,3.401986129251366
Tables,202810.628,645.8937197452229,3224.082504460717,16.410685246324878,2,"Low Volume, High Volatility",0.8696875551891425,-0.4571021320403828
